Year,Block_Height,Block_Reward_BTC,Daily_Issuance_BTC,Annual_Issuance_BTC
2009,0,50.0,7200,2628000
2010,52500,50.0,7200,2628000
2012,210000,25.0,3600,1314000
2013,262500,25.0,3600,1314000
2016,420000,12.5,1800,657000
2017,472500,12.5,1800,657000
2020,630000,6.25,900,328500
2021,682500,6.25,900,328500
2024,840000,3.125,450,164250
2025,892500,3.125,450,164250
2028,1050000,1.5625,225,82125
2032,1260000,0.78125,112.5,41062.5
2036,1470000,0.390625,56.25,20531.25
2040,1680000,0.1953125,28.125,10265.625
2044,1890000,0.09765625,14.0625,5132.8125
2048,2100000,0.048828125,7.03125,2566.40625
2052,2310000,0.0244140625,3.515625,1283.203125
2056,2520000,0.01220703125,1.7578125,641.6015625
2060,2730000,0.006103515625,0.87890625,320.80078125
2140,6930000,0.00000001,0.000144,0.05256
